,Power Demand,Temperature,Precipitation,Wind Speed,Wind Direction,Humidity,Vapor Pressure,Dewpoint,Local Pressure,Sea Level Pressure,Sunshine,Solar Radiation,Ground Temp,Soil 5cm,Soil 10cm,Soil 20cm,Soil 30cm
Power Demand,1.0,-0.0503358710460891,0.01864317488965264,0.2651385083459808,0.06824296404102428,-0.14511499302206446,-0.017353798611993033,-0.09046640246597219,0.08304684640343504,0.08444145462649098,0.008875554110997722,0.027723332109310682,0.023211322576939194,-0.0250306739528972,-0.05538514183964878,-0.06047642068619092,-0.08259009603981624
Temperature,-0.0503358710460891,1.0,0.05400889420208871,-0.15065470186203364,-0.2838356390552946,0.2716107266148525,0.9154458261209221,0.9311372839144414,-0.7821032595596642,-0.7857304362245741,0.2364230894720075,0.32771149461547217,0.8854267203353884,0.9472245707442213,0.9482183188982344,0.9382108482981627,0.9268833769252148
Precipitation,0.01864317488965264,0.05400889420208871,1.0,0.10807366046830284,-0.07787130090537636,0.27081309492285355,0.12000622376152727,0.12220365498240539,-0.17077016725604371,-0.17006002671925513,-0.07848858030375606,-0.17085168087511277,0.041120166714950376,0.043930733743402936,0.03910982981547197,0.04348962650317312,0.05130672878970734
Wind Speed,0.2651385083459808,-0.15065470186203364,0.10807366046830284,1.0,0.16023577596206465,-0.1547168660387297,-0.14851498893622378,-0.18167295966973493,0.048363032935232184,0.04962684378217384,0.0401164653796305,0.16893671863054563,-0.03673628899742259,-0.17073289682247295,-0.18700722204609577,-0.18500752332801904,-0.18511798296042076
Wind Direction,0.06824296404102428,-0.2838356390552946,-0.07787130090537636,0.16023577596206465,1.0,-0.2049958227595821,-0.28217284079891886,-0.31026842969539925,0.1712881625026909,0.17281373448980916,-0.031027271350231624,-0.05487955266076224,-0.2420815030107572,-0.2624096105060815,-0.2603330723545701,-0.2601826374298966,-0.2575703358778554
Humidity,-0.14511499302206446,0.2716107266148525,0.27081309492285355,-0.1547168660387297,-0.2049958227595821,1.0,0.5645431495912058,0.5990798686192672,-0.448626903960066,-0.44812643483763903,-0.46179350718808226,-0.36843660175416326,0.13678998392121494,0.29898856025957016,0.33351834297554234,0.33863461086552443,0.34050162780861426
Vapor Pressure,-0.017353798611993033,0.9154458261209221,0.12000622376152727,-0.14851498893622378,-0.28217284079891886,0.5645431495912058,1.0,0.9753568165563621,-0.7928691042707605,-0.7955621046600769,0.015391336725979695,0.12575387067889765,0.7727645958580144,0.8892977147991077,0.9049551498556093,0.9010488396803064,0.8968967998509626
Dewpoint,-0.09046640246597219,0.9311372839144414,0.12220365498240539,-0.18167295966973493,-0.31026842969539925,0.5990798686192672,0.9753568165563621,1.0,-0.8102574956910532,-0.8130431592233619,0.015277578020514288,0.12779465661182082,0.7850721576213384,0.9001703592208211,0.9135417727754492,0.9074909794445717,0.8995522674162229
Local Pressure,0.08304684640343504,-0.7821032595596642,-0.17077016725604371,0.048363032935232184,0.1712881625026909,-0.448626903960066,-0.7928691042707605,-0.8102574956910532,1.0,0.9999741797503493,0.016560421486797778,-0.09938347691107363,-0.6618045752591248,-0.7601157816337545,-0.7807690260137202,-0.7706552416708303,-0.7510408380542617
Sea Level Pressure,0.08444145462649098,-0.7857304362245741,-0.17006002671925513,0.04962684378217384,0.17281373448980916,-0.44812643483763903,-0.7955621046600769,-0.8130431592233619,0.9999741797503493,1.0,0.01485230792263691,-0.10126529102606201,-0.6652193140990162,-0.7632679792403937,-0.7838551079374099,-0.7737216014993804,-0.7541778819121392
Sunshine,0.008875554110997722,0.2364230894720075,-0.07848858030375606,0.0401164653796305,-0.031027271350231624,-0.46179350718808226,0.015391336725979695,0.015277578020514288,0.016560421486797778,0.01485230792263691,1.0,0.7856821451065231,0.46146188759143103,0.1756921483131065,0.14048690533107533,0.12103155894188111,0.09847503444590427
Solar Radiation,0.027723332109310682,0.32771149461547217,-0.17085168087511277,0.16893671863054563,-0.05487955266076224,-0.36843660175416326,0.12575387067889765,0.12779465661182082,-0.09938347691107363,-0.10126529102606201,0.7856821451065231,1.0,0.6608932272550168,0.24980206721091971,0.2095975130926916,0.19090629227469372,0.1678596111483378
Ground Temp,0.023211322576939194,0.8854267203353884,0.041120166714950376,-0.03673628899742259,-0.2420815030107572,0.13678998392121494,0.7727645958580144,0.7850721576213384,-0.6618045752591248,-0.6652193140990162,0.46146188759143103,0.6608932272550168,1.0,0.8543754047458754,0.8315985426479303,0.8109427567928469,0.7877627854139261
Soil 5cm,-0.0250306739528972,0.9472245707442213,0.043930733743402936,-0.17073289682247295,-0.2624096105060815,0.29898856025957016,0.8892977147991077,0.9001703592208211,-0.7601157816337545,-0.7632679792403937,0.1756921483131065,0.24980206721091971,0.8543754047458754,1.0,0.9854551768115895,0.9743376256062003,0.9646717000265264
Soil 10cm,-0.05538514183964878,0.9482183188982344,0.03910982981547197,-0.18700722204609577,-0.2603330723545701,0.33351834297554234,0.9049551498556093,0.9135417727754492,-0.7807690260137202,-0.7838551079374099,0.14048690533107533,0.2095975130926916,0.8315985426479303,0.9854551768115895,1.0,0.991900337168581,0.982600194871203
Soil 20cm,-0.06047642068619092,0.9382108482981627,0.04348962650317312,-0.18500752332801904,-0.2601826374298966,0.33863461086552443,0.9010488396803064,0.9074909794445717,-0.7706552416708303,-0.7737216014993804,0.12103155894188111,0.19090629227469372,0.8109427567928469,0.9743376256062003,0.991900337168581,1.0,0.989593297406592
Soil 30cm,-0.08259009603981624,0.9268833769252148,0.05130672878970734,-0.18511798296042076,-0.2575703358778554,0.34050162780861426,0.8968967998509626,0.8995522674162229,-0.7510408380542617,-0.7541778819121392,0.09847503444590427,0.1678596111483378,0.7877627854139261,0.9646717000265264,0.982600194871203,0.989593297406592,1.0
